---,StarNameFString,CatalogFString,StarNumberInt,RightAscenstion,Declination,ProperMotionInRightAscension,ProperMotionInDeclination,Parallax,RadialVelocity,OptionalVisualMagnitude
HR2491,9Alp CMa,BSC,0,101.2871,-16.7161,-0.553,-1.205,0.375,-8,-1.46
HR2326,Alp Car,BSC,0,95.9879,-52.6958,0.022,0.021,0.028,21,-0.72
HR5340,16Alp Boo,BSC,0,213.9154,19.1825,-1.093,-1.998,0.09,-5,-0.04
HR5459,Alp1Cen,BSC,0,219.8996,-60.8353,-3.642,0.699,0.751,-22,-0.01
HR7001,3Alp Lyr,BSC,0,279.2346,38.7836,0.202,0.286,0.123,-14,0.03
HR1708,13Alp Aur,BSC,0,79.1725,45.9981,0.076,-0.425,0.073,30,0.08
HR1713,19Bet Ori,BSC,0,78.6346,-8.2017,0,-0.001,0.013,21,0.12
HR2943,10Alp CMi,BSC,0,114.8254,5.225,-0.71,-1.023,0.288,-3,0.38
HR472,Alp Eri,BSC,0,24.4287,-57.2367,0.095,-0.035,0.026,16,0.46
HR2061,58Alp Ori,BSC,0,88.7929,7.4069,0.026,0.009,0.005,21,0.5
HR5267,Bet Cen,BSC,0,210.9558,-60.3731,-0.032,-0.019,0.009,6,0.61
HR7557,53Alp Aql,BSC,0,297.6958,8.8683,0.538,0.386,0.198,-26,0.77
HR1457,87Alp Tau,BSC,0,68.98,16.5092,0.063,-0.19,0.048,54,0.85
HR6134,21Alp Sco,BSC,0,247.3517,-26.4319,-0.01,-0.02,0.024,-3,0.96
HR5056,67Alp Vir,BSC,0,201.2983,-11.1614,-0.041,-0.028,0.023,1,0.98
HR2990,78Bet Gem,BSC,0,116.3288,28.0261,-0.628,-0.046,0.094,3,1.14
HR8728,24Alp PsA,BSC,0,344.4129,-29.6222,0.333,-0.165,0.149,7,1.16
HR4853,Bet Cru,BSC,0,191.93,-59.6886,-0.048,-0.014,,16,1.25
HR7924,50Alp Cyg,BSC,0,310.3579,45.2803,0.003,0.002,-0.006,-5,1.25
