Name,StarNameFString,CatalogFString,RightAscenstion,Declination,OptionalVisualMagnitude,Parallax,ProperMotionInDeclination,ProperMotionInRightAscension,RadialVelocity
HR 2491,9Alp CMa,BSC,101.2871,-16.7161,-1.46,0.375,-1.205,-0.553,-8
HR 2326,Alp Car,BSC,95.9879,-52.6958,-0.72,0.028,0.021,0.022,21
HR 5340,16Alp Boo,BSC,213.9154,19.1825,-0.04,0.09,-1.998,-1.093,-5
HR 5459,Alp1Cen,BSC,219.8996,-60.8353,-0.01,0.751,0.699,-3.642,-22
HR 7001,3Alp Lyr,BSC,279.2346,38.7836, 0.03,0.123,0.286,0.202,-14
HR 1708,13Alp Aur,BSC,79.1725,45.9981, 0.08,0.073,-0.425,0.076,30
HR 1713,19Bet Ori,BSC,78.6346,-8.2017, 0.12,0.013,-0.001,0,21
HR 2943,10Alp CMi,BSC,114.8254,5.225, 0.38,0.288,-1.023,-0.71,-3
HR 472,Alp Eri,BSC,24.4287,-57.2367, 0.46,0.026,-0.035,0.095,16
HR 2061,58Alp Ori,BSC,88.7929,7.4069, 0.50,0.005,0.009,0.026,21
HR 5267,Bet Cen,BSC,210.9558,-60.3731, 0.61,0.009,-0.019,-0.032,6
HR 7557,53Alp Aql,BSC,297.6958,8.8683, 0.77,0.198,0.386,0.538,-26
HR 1457,87Alp Tau,BSC,68.98,16.5092, 0.85,0.048,-0.19,0.063,54
HR 6134,21Alp Sco,BSC,247.3517,-26.4319, 0.96,0.024,-0.02,-0.01,-3
HR 5056,67Alp Vir,BSC,201.2983,-11.1614, 0.98,0.023,-0.028,-0.041,1
HR 2990,78Bet Gem,BSC,116.3288,28.0261, 1.14,0.094,-0.046,-0.628,3
HR 8728,24Alp PsA,BSC,344.4129,-29.6222, 1.16,0.149,-0.165,0.333,7
HR 4853,Bet Cru,BSC,191.93,-59.6886, 1.25,,-0.014,-0.048,16
HR 7924,50Alp Cyg,BSC,310.3579,45.2803, 1.25,-0.006,0.002,0.003,-5
HR 4730,Alp1Cru,BSC,186.6496,-63.0992, 1.33,0.008,-0.012,-0.036,-11
HR 5460,Alp2Cen,BSC,219.9004,-60.8356, 1.33,0.751,0.7,-3.646,-21
HR 3982,32Alp Leo,BSC,152.0929,11.9672, 1.35,0.045,0.006,-0.248,6
HR 2618,21Eps CMa,BSC,104.6562,-28.9722, 1.50,0.001,0.003,0.004,27
HR 4763,Gam Cru,BSC,187.7912,-57.1133, 1.63,,-0.262,0.023,21
